ordernumber,orderlinenumber,orderdate,shippeddate,requireddate,customernumber,employeenumber,productcode,status,comments,quantityordered,priceeach,sales_amount,days_to_ship,days_required
10175,4,2003-11-06,2003-11-09,2003-11-14,324,1501,S18_2319,Shipped,Sin comentarios,48,101.87,4889.76,3.0,8
10175,5,2003-11-06,2003-11-09,2003-11-14,324,1501,S18_3232,Shipped,Sin comentarios,29,150.71,4370.59,3.0,8
10175,6,2003-11-06,2003-11-09,2003-11-14,324,1501,S24_2300,Shipped,Sin comentarios,28,121.4,3399.2,3.0,8
10175,7,2003-11-06,2003-11-09,2003-11-14,324,1501,S18_2432,Shipped,Sin comentarios,41,59.55,2441.55,3.0,8
10175,8,2003-11-06,2003-11-09,2003-11-14,324,1501,S32_1268,Shipped,Sin comentarios,22,89.57,1970.54,3.0,8
10175,9,2003-11-06,2003-11-09,2003-11-14,324,1501,S10_4962,Shipped,Sin comentarios,33,119.67,3949.11,3.0,8
10175,10,2003-11-06,2003-11-09,2003-11-14,324,1501,S18_4600,Shipped,Sin comentarios,47,102.92,4837.24,3.0,8
10175,11,2003-11-06,2003-11-09,2003-11-14,324,1501,S700_2824,Shipped,Sin comentarios,42,80.92,3398.64,3.0,8
10175,12,2003-11-06,2003-11-09,2003-11-14,324,1501,S32_3522,Shipped,Sin comentarios,29,56.24,1630.96,3.0,8
10176,1,2003-11-06,2003-11-12,2003-11-15,386,1401,S12_3891,Shipped,Sin comentarios,50,160.91,8045.5,6.0,9
10176,2,2003-11-06,2003-11-12,2003-11-15,386,1401,S12_1108,Shipped,Sin comentarios,33,166.24,5485.92,6.0,9
10176,3,2003-11-06,2003-11-12,2003-11-15,386,1401,S12_3148,Shipped,Sin comentarios,47,145.04,6816.88,6.0,9
10176,4,2003-11-06,2003-11-12,2003-11-15,386,1401,S50_1514,Shipped,Sin comentarios,38,52.14,1981.32,6.0,9
10176,5,2003-11-06,2003-11-12,2003-11-15,386,1401,S18_4027,Shipped,Sin comentarios,36,140.75,5067.0,6.0,9
10176,6,2003-11-06,2003-11-12,2003-11-15,386,1401,S32_3207,Shipped,Sin comentarios,22,62.14,1367.08,6.0,9
10176,7,2003-11-06,2003-11-12,2003-11-15,386,1401,S24_4048,Shipped,Sin comentarios,29,101.72,2949.88,6.0,9
10176,8,2003-11-06,2003-11-12,2003-11-15,386,1401,S24_1444,Shipped,Sin comentarios,27,55.49,1498.23,6.0,9
10176,9,2003-11-06,2003-11-12,2003-11-15,386,1401,S50_1392,Shipped,Sin comentarios,23,109.96,2529.08,6.0,9
10176,10,2003-11-06,2003-11-12,2003-11-15,386,1401,S18_2238,Shipped,Sin comentarios,20,139.17,2783.4,6.0,9
10177,1,2003-11-07,2003-11-12,2003-11-17,344,1702,S700_2610,Shipped,Sin comentarios,32,64.33,2058.56,5.0,10
10177,2,2003-11-07,2003-11-12,2003-11-17,344,1702,S24_3151,Shipped,Sin comentarios,45,79.66,3584.7,5.0,10
10177,3,2003-11-07,2003-11-12,2003-11-17,344,1702,S700_1138,Shipped,Sin comentarios,24,58.67,1408.08,5.0,10
10177,4,2003-11-07,2003-11-12,2003-11-17,344,1702,S700_3505,Shipped,Sin comentarios,44,88.15,3878.6,5.0,10
10177,5,2003-11-07,2003-11-12,2003-11-17,344,1702,S700_3962,Shipped,Sin comentarios,24,83.42,2002.08,5.0,10
10177,6,2003-11-07,2003-11-12,2003-11-17,344,1702,S72_3212,Shipped,Sin comentarios,40,52.96,2118.4,5.0,10
10177,7,2003-11-07,2003-11-12,2003-11-17,344,1702,S24_2011,Shipped,Sin comentarios,50,115.52,5776.0,5.0,10
10177,8,2003-11-07,2003-11-12,2003-11-17,344,1702,S18_4522,Shipped,Sin comentarios,35,82.5,2887.5,5.0,10
10177,9,2003-11-07,2003-11-12,2003-11-17,344,1702,S18_3140,Shipped,Sin comentarios,23,113.37,2607.51,5.0,10
10177,10,2003-11-07,2003-11-12,2003-11-17,344,1702,S700_1938,Shipped,Sin comentarios,31,77.95,2416.45,5.0,10
10177,11,2003-11-07,2003-11-12,2003-11-17,344,1702,S18_3259,Shipped,Sin comentarios,29,92.77,2690.33,5.0,10
10178,1,2003-11-08,2003-11-10,2003-11-16,242,1370,S700_2466,Shipped,Custom shipping instructions sent to warehouse,22,91.74,2018.28,2.0,8
10178,2,2003-11-08,2003-11-10,2003-11-16,242,1370,S700_4002,Shipped,Custom shipping instructions sent to warehouse,45,68.11,3064.95,2.0,8
10178,3,2003-11-08,2003-11-10,2003-11-16,242,1370,S24_3949,Shipped,Custom shipping instructions sent to warehouse,30,64.15,1924.5,2.0,8
10178,4,2003-11-08,2003-11-10,2003-11-16,242,1370,S18_1662,Shipped,Custom shipping instructions sent to warehouse,42,127.73,5364.66,2.0,8
10178,5,2003-11-08,2003-11-10,2003-11-16,242,1370,S24_2841,Shipped,Custom shipping instructions sent to warehouse,34,67.82,2305.88,2.0,8
10178,6,2003-11-08,2003-11-10,2003-11-16,242,1370,S24_3420,Shipped,Custom shipping instructions sent to warehouse,27,65.75,1775.25,2.0,8
10178,7,2003-11-08,2003-11-10,2003-11-16,242,1370,S72_1253,Shipped,Custom shipping instructions sent to warehouse,45,41.71,1876.95,2.0,8
10178,8,2003-11-08,2003-11-10,2003-11-16,242,1370,S700_2047,Shipped,Custom shipping instructions sent to warehouse,34,86.9,2954.6,2.0,8
10178,9,2003-11-08,2003-11-10,2003-11-16,242,1370,S18_3856,Shipped,Custom shipping instructions sent to warehouse,48,104.81,5030.88,2.0,8
10178,10,2003-11-08,2003-11-10,2003-11-16,242,1370,S18_3029,Shipped,Custom shipping instructions sent to warehouse,41,70.54,2892.14,2.0,8
10178,11,2003-11-08,2003-11-10,2003-11-16,242,1370,S24_3816,Shipped,Custom shipping instructions sent to warehouse,21,68.77,1444.17,2.0,8
10178,12,2003-11-08,2003-11-10,2003-11-16,242,1370,S10_4757,Shipped,Custom shipping instructions sent to warehouse,24,131.92,3166.08,2.0,8
10179,1,2003-11-11,2003-11-13,2003-11-17,496,1612,S32_1374,Cancelled,Customer cancelled due to urgent budgeting issues. Must be cautious when dealing with them in the future. Since order shipped already we must discuss who would cover the shipping charges.,45,86.9,3910.5,2.0,6
10179,2,2003-11-11,2003-11-13,2003-11-17,496,1612,S700_2834,Cancelled,Customer cancelled due to urgent budgeting issues. Must be cautious when dealing with them in the future. Since order shipped already we must discuss who would cover the shipping charges.,25,98.48,2462.0,2.0,6
10179,3,2003-11-11,2003-11-13,2003-11-17,496,1612,S18_2581,Cancelled,Customer cancelled due to urgent budgeting issues. Must be cautious when dealing with them in the future. Since order shipped already we must discuss who would cover the shipping charges.,24,82.79,1986.96,2.0,6
10179,4,2003-11-11,2003-11-13,2003-11-17,496,1612,S24_4278,Cancelled,Customer cancelled due to urgent budgeting issues. Must be cautious when dealing with them in the future. Since order shipped already we must discuss who would cover the shipping charges.,27,66.65,1799.55,2.0,6
10179,5,2003-11-11,2003-11-13,2003-11-17,496,1612,S24_1785,Cancelled,Customer cancelled due to urgent budgeting issues. Must be cautious when dealing with them in the future. Since order shipped already we must discuss who would cover the shipping charges.,47,105.04,4936.88,2.0,6
10179,6,2003-11-11,2003-11-13,2003-11-17,496,1612,S32_4289,Cancelled,Customer cancelled due to urgent budgeting issues. Must be cautious when dealing with them in the future. Since order shipped already we must discuss who would cover the shipping charges.,24,63.97,1535.28,2.0,6
10179,7,2003-11-11,2003-11-13,2003-11-17,496,1612,S50_1341,Cancelled,Customer cancelled due to urgent budgeting issues. Must be cautious when dealing with them in the future. Since order shipped already we must discuss who would cover the shipping charges.,34,43.2,1468.8,2.0,6
10179,8,2003-11-11,2003-11-13,2003-11-17,496,1612,S700_1691,Cancelled,Customer cancelled due to urgent budgeting issues. Must be cautious when dealing with them in the future. Since order shipped already we must discuss who would cover the shipping charges.,23,75.81,1743.63,2.0,6
10179,9,2003-11-11,2003-11-13,2003-11-17,496,1612,S700_3167,Cancelled,Customer cancelled due to urgent budgeting issues. Must be cautious when dealing with them in the future. Since order shipped already we must discuss who would cover the shipping charges.,39,80.0,3120.0,2.0,6
10180,1,2003-11-11,2003-11-14,2003-11-19,171,1370,S24_4620,Shipped,Sin comentarios,28,68.71,1923.88,3.0,8
10180,2,2003-11-11,2003-11-14,2003-11-19,171,1370,S18_4721,Shipped,Sin comentarios,44,147.31,6481.64,3.0,8
10180,3,2003-11-11,2003-11-14,2003-11-19,171,1370,S18_3782,Shipped,Sin comentarios,21,59.06,1240.26,3.0,8
10180,4,2003-11-11,2003-11-14,2003-11-19,171,1370,S32_2206,Shipped,Sin comentarios,34,33.39,1135.26,3.0,8
10180,5,2003-11-11,2003-11-14,2003-11-19,171,1370,S50_4713,Shipped,Sin comentarios,21,74.85,1571.85,3.0,8
10180,6,2003-11-11,2003-11-14,2003-11-19,171,1370,S24_2360,Shipped,Sin comentarios,35,60.95,2133.25,3.0,8
10180,7,2003-11-11,2003-11-14,2003-11-19,171,1370,S32_4485,Shipped,Sin comentarios,22,102.05,2245.1,3.0,8
10180,8,2003-11-11,2003-11-14,2003-11-19,171,1370,S12_2823,Shipped,Sin comentarios,40,131.04,5241.6,3.0,8
10180,9,2003-11-11,2003-11-14,2003-11-19,171,1370,S10_1678,Shipped,Sin comentarios,29,76.56,2220.24,3.0,8
10180,10,2003-11-11,2003-11-14,2003-11-19,171,1370,S24_1578,Shipped,Sin comentarios,48,98.05,4706.4,3.0,8
10180,11,2003-11-11,2003-11-14,2003-11-19,171,1370,S10_4698,Shipped,Sin comentarios,41,164.61,6749.01,3.0,8
10180,12,2003-11-11,2003-11-14,2003-11-19,171,1370,S10_2016,Shipped,Sin comentarios,42,99.91,4196.22,3.0,8
10180,13,2003-11-11,2003-11-14,2003-11-19,171,1370,S18_2625,Shipped,Sin comentarios,25,48.46,1211.5,3.0,8
10180,14,2003-11-11,2003-11-14,2003-11-19,171,1370,S24_2000,Shipped,Sin comentarios,28,61.7,1727.6,3.0,8
10181,1,2003-11-12,2003-11-15,2003-11-19,167,1504,S24_1628,Shipped,Sin comentarios,34,45.28,1539.52,3.0,7
10181,2,2003-11-12,2003-11-15,2003-11-19,167,1504,S18_1589,Shipped,Sin comentarios,42,124.44,5226.48,3.0,7
10181,3,2003-11-12,2003-11-15,2003-11-19,167,1504,S18_2870,Shipped,Sin comentarios,27,130.68,3528.36,3.0,7
10181,4,2003-11-12,2003-11-15,2003-11-19,167,1504,S18_3685,Shipped,Sin comentarios,39,137.04,5344.56,3.0,7
10181,5,2003-11-12,2003-11-15,2003-11-19,167,1504,S18_1984,Shipped,Sin comentarios,21,129.45,2718.45,3.0,7
10181,6,2003-11-12,2003-11-15,2003-11-19,167,1504,S18_1129,Shipped,Sin comentarios,44,124.56,5480.64,3.0,7
10181,7,2003-11-12,2003-11-15,2003-11-19,167,1504,S18_3232,Shipped,Sin comentarios,45,147.33,6629.85,3.0,7
10181,8,2003-11-12,2003-11-15,2003-11-19,167,1504,S24_2972,Shipped,Sin comentarios,37,32.85,1215.45,3.0,7
10181,9,2003-11-12,2003-11-15,2003-11-19,167,1504,S24_3856,Shipped,Sin comentarios,25,122.17,3054.25,3.0,7
10181,10,2003-11-12,2003-11-15,2003-11-19,167,1504,S18_1889,Shipped,Sin comentarios,22,74.69,1643.18,3.0,7
10181,11,2003-11-12,2003-11-15,2003-11-19,167,1504,S12_4675,Shipped,Sin comentarios,36,107.1,3855.6,3.0,7
10181,12,2003-11-12,2003-11-15,2003-11-19,167,1504,S12_3380,Shipped,Sin comentarios,28,113.92,3189.76,3.0,7
10181,13,2003-11-12,2003-11-15,2003-11-19,167,1504,S24_3371,Shipped,Sin comentarios,23,54.49,1253.27,3.0,7
10181,14,2003-11-12,2003-11-15,2003-11-19,167,1504,S12_1099,Shipped,Sin comentarios,27,155.66,4202.82,3.0,7
10181,15,2003-11-12,2003-11-15,2003-11-19,167,1504,S12_3990,Shipped,Sin comentarios,20,67.03,1340.6,3.0,7
10181,16,2003-11-12,2003-11-15,2003-11-19,167,1504,S18_3482,Shipped,Sin comentarios,22,120.53,2651.66,3.0,7
10181,17,2003-11-12,2003-11-15,2003-11-19,167,1504,S18_3278,Shipped,Sin comentarios,30,73.17,2195.1,3.0,7
10182,1,2003-11-12,2003-11-18,2003-11-21,124,1165,S18_3320,Shipped,Sin comentarios,33,86.31,2848.23,6.0,9
10182,2,2003-11-12,2003-11-18,2003-11-21,124,1165,S18_1367,Shipped,Sin comentarios,32,44.21,1414.72,6.0,9
10182,3,2003-11-12,2003-11-18,2003-11-21,124,1165,S18_1342,Shipped,Sin comentarios,25,83.22,2080.5,6.0,9
10182,4,2003-11-12,2003-11-18,2003-11-21,124,1165,S18_2795,Shipped,Sin comentarios,21,135.0,2835.0,6.0,9
10182,5,2003-11-12,2003-11-18,2003-11-21,124,1165,S24_2022,Shipped,Sin comentarios,31,39.87,1235.97,6.0,9
10182,6,2003-11-12,2003-11-18,2003-11-21,124,1165,S24_1937,Shipped,Sin comentarios,39,31.86,1242.54,6.0,9
10182,7,2003-11-12,2003-11-18,2003-11-21,124,1165,S18_2325,Shipped,Sin comentarios,20,105.52,2110.4,6.0,9
10182,8,2003-11-12,2003-11-18,2003-11-21,124,1165,S24_3969,Shipped,Sin comentarios,23,34.88,802.24,6.0,9
10182,9,2003-11-12,2003-11-18,2003-11-21,124,1165,S18_2248,Shipped,Sin comentarios,38,54.49,2070.62,6.0,9
10182,10,2003-11-12,2003-11-18,2003-11-21,124,1165,S18_1749,Shipped,Sin comentarios,44,159.8,7031.2,6.0,9
10182,11,2003-11-12,2003-11-18,2003-11-21,124,1165,S18_4409,Shipped,Sin comentarios,36,88.35,3180.6,6.0,9
10182,12,2003-11-12,2003-11-18,2003-11-21,124,1165,S18_4933,Shipped,Sin comentarios,44,61.29,2696.76,6.0,9
10182,13,2003-11-12,2003-11-18,2003-11-21,124,1165,S24_2887,Shipped,Sin comentarios,20,116.27,2325.4,6.0,9
10182,14,2003-11-12,2003-11-18,2003-11-21,124,1165,S24_2766,Shipped,Sin comentarios,36,87.24,3140.64,6.0,9
10182,15,2003-11-12,2003-11-18,2003-11-21,124,1165,S24_3191,Shipped,Sin comentarios,33,73.62,2429.46,6.0,9
10182,16,2003-11-12,2003-11-18,2003-11-21,124,1165,S24_1046,Shipped,Sin comentarios,47,63.2,2970.4,6.0,9
10182,17,2003-11-12,2003-11-18,2003-11-21,124,1165,S24_3432,Shipped,Sin comentarios,49,95.3,4669.7,6.0,9
10183,1,2003-11-13,2003-11-15,2003-11-22,339,1188,S10_4962,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,28,127.06,3557.68,2.0,9
10183,2,2003-11-13,2003-11-15,2003-11-22,339,1188,S18_4600,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,21,118.66,2491.86,2.0,9
10183,3,2003-11-13,2003-11-15,2003-11-22,339,1188,S700_2824,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,23,85.98,1977.54,2.0,9
10183,4,2003-11-13,2003-11-15,2003-11-22,339,1188,S32_3522,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,49,52.36,2565.64,2.0,9
10183,5,2003-11-13,2003-11-15,2003-11-22,339,1188,S12_1666,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,41,114.8,4706.8,2.0,9
10183,6,2003-11-13,2003-11-15,2003-11-22,339,1188,S18_4668,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,40,42.26,1690.4,2.0,9
10183,7,2003-11-13,2003-11-15,2003-11-22,339,1188,S18_1097,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,21,108.5,2278.5,2.0,9
10183,8,2003-11-13,2003-11-15,2003-11-22,339,1188,S10_1949,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,23,180.01,4140.23,2.0,9
10183,9,2003-11-13,2003-11-15,2003-11-22,339,1188,S18_2949,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,37,91.18,3373.66,2.0,9
10183,10,2003-11-13,2003-11-15,2003-11-22,339,1188,S18_3136,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,22,90.06,1981.32,2.0,9
10183,11,2003-11-13,2003-11-15,2003-11-22,339,1188,S18_2957,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,39,51.22,1997.58,2.0,9
10183,12,2003-11-13,2003-11-15,2003-11-22,339,1188,S24_4258,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,47,81.81,3845.07,2.0,9
10184,1,2003-11-14,2003-11-20,2003-11-22,484,1702,S32_3207,Shipped,Sin comentarios,48,59.03,2833.44,6.0,8
10184,2,2003-11-14,2003-11-20,2003-11-22,484,1702,S24_4048,Shipped,Sin comentarios,49,114.73,5621.77,6.0,8
10184,3,2003-11-14,2003-11-20,2003-11-22,484,1702,S24_1444,Shipped,Sin comentarios,31,57.22,1773.82,6.0,8
10184,4,2003-11-14,2003-11-20,2003-11-22,484,1702,S50_1392,Shipped,Sin comentarios,45,92.6,4167.0,6.0,8
10184,5,2003-11-14,2003-11-20,2003-11-22,484,1702,S18_2238,Shipped,Sin comentarios,46,145.72,6703.12,6.0,8
10184,6,2003-11-14,2003-11-20,2003-11-22,484,1702,S12_4473,Shipped,Sin comentarios,37,105.47,3902.39,6.0,8
10184,7,2003-11-14,2003-11-20,2003-11-22,484,1702,S24_2840,Shipped,Sin comentarios,42,30.06,1262.52,6.0,8
10184,8,2003-11-14,2003-11-20,2003-11-22,484,1702,S32_2509,Shipped,Sin comentarios,33,52.49,1732.17,6.0,8
10184,9,2003-11-14,2003-11-20,2003-11-22,484,1702,S18_2319,Shipped,Sin comentarios,46,119.05,5476.3,6.0,8
10184,10,2003-11-14,2003-11-20,2003-11-22,484,1702,S18_3232,Shipped,Sin comentarios,28,165.95,4646.6,6.0,8
10184,11,2003-11-14,2003-11-20,2003-11-22,484,1702,S24_2300,Shipped,Sin comentarios,24,117.57,2821.68,6.0,8
10184,12,2003-11-14,2003-11-20,2003-11-22,484,1702,S18_2432,Shipped,Sin comentarios,44,60.77,2673.88,6.0,8
10184,13,2003-11-14,2003-11-20,2003-11-22,484,1702,S32_1268,Shipped,Sin comentarios,46,84.75,3898.5,6.0,8
10185,1,2003-11-14,2003-11-20,2003-11-21,320,1188,S700_2610,Shipped,Sin comentarios,39,61.44,2396.16,6.0,7
10185,2,2003-11-14,2003-11-20,2003-11-21,320,1188,S24_3151,Shipped,Sin comentarios,33,83.2,2745.6,6.0,7
10185,3,2003-11-14,2003-11-20,2003-11-21,320,1188,S700_1138,Shipped,Sin comentarios,21,64.67,1358.07,6.0,7
10185,4,2003-11-14,2003-11-20,2003-11-21,320,1188,S700_3505,Shipped,Sin comentarios,37,99.17,3669.29,6.0,7
10185,5,2003-11-14,2003-11-20,2003-11-21,320,1188,S700_3962,Shipped,Sin comentarios,22,93.35,2053.7,6.0,7
10185,6,2003-11-14,2003-11-20,2003-11-21,320,1188,S72_3212,Shipped,Sin comentarios,28,47.5,1330.0,6.0,7
10185,7,2003-11-14,2003-11-20,2003-11-21,320,1188,S24_2011,Shipped,Sin comentarios,30,105.69,3170.7,6.0,7
10185,8,2003-11-14,2003-11-20,2003-11-21,320,1188,S18_4522,Shipped,Sin comentarios,47,87.77,4125.19,6.0,7
10185,9,2003-11-14,2003-11-20,2003-11-21,320,1188,S18_3140,Shipped,Sin comentarios,28,124.3,3480.4,6.0,7
10185,10,2003-11-14,2003-11-20,2003-11-21,320,1188,S700_1938,Shipped,Sin comentarios,30,79.68,2390.4,6.0,7
10185,11,2003-11-14,2003-11-20,2003-11-21,320,1188,S18_3259,Shipped,Sin comentarios,49,94.79,4644.71,6.0,7
10185,12,2003-11-14,2003-11-20,2003-11-21,320,1188,S12_3891,Shipped,Sin comentarios,43,147.07,6324.01,6.0,7
10185,13,2003-11-14,2003-11-20,2003-11-21,320,1188,S12_1108,Shipped,Sin comentarios,21,195.33,4101.93,6.0,7
10185,14,2003-11-14,2003-11-20,2003-11-21,320,1188,S12_3148,Shipped,Sin comentarios,33,146.55,4836.15,6.0,7
10185,15,2003-11-14,2003-11-20,2003-11-21,320,1188,S50_1514,Shipped,Sin comentarios,20,46.86,937.2,6.0,7
10185,16,2003-11-14,2003-11-20,2003-11-21,320,1188,S18_4027,Shipped,Sin comentarios,39,127.82,4984.98,6.0,7
10186,1,2003-11-14,2003-11-18,2003-11-20,489,1501,S18_1662,Shipped,They want to reevaluate their terms agreement with the VP of Sales,32,137.19,4390.08,4.0,6
10186,2,2003-11-14,2003-11-18,2003-11-20,489,1501,S24_2841,Shipped,They want to reevaluate their terms agreement with the VP of Sales,22,60.29,1326.38,4.0,6
10186,3,2003-11-14,2003-11-18,2003-11-20,489,1501,S24_3420,Shipped,They want to reevaluate their terms agreement with the VP of Sales,21,59.83,1256.43,4.0,6
10186,4,2003-11-14,2003-11-18,2003-11-20,489,1501,S72_1253,Shipped,They want to reevaluate their terms agreement with the VP of Sales,28,42.71,1195.88,4.0,6
10186,5,2003-11-14,2003-11-18,2003-11-20,489,1501,S700_2047,Shipped,They want to reevaluate their terms agreement with the VP of Sales,24,80.56,1933.44,4.0,6
10186,6,2003-11-14,2003-11-18,2003-11-20,489,1501,S18_3856,Shipped,They want to reevaluate their terms agreement with the VP of Sales,46,98.46,4529.16,4.0,6
10186,7,2003-11-14,2003-11-18,2003-11-20,489,1501,S18_3029,Shipped,They want to reevaluate their terms agreement with the VP of Sales,32,73.12,2339.84,4.0,6
10186,8,2003-11-14,2003-11-18,2003-11-20,489,1501,S24_3816,Shipped,They want to reevaluate their terms agreement with the VP of Sales,36,68.77,2475.72,4.0,6
10186,9,2003-11-14,2003-11-18,2003-11-20,489,1501,S10_4757,Shipped,They want to reevaluate their terms agreement with the VP of Sales,26,108.8,2828.8,4.0,6
10188,1,2003-11-18,2003-11-24,2003-11-26,167,1504,S10_1678,Shipped,Sin comentarios,48,95.7,4593.6,6.0,8
10188,2,2003-11-18,2003-11-24,2003-11-26,167,1504,S24_1578,Shipped,Sin comentarios,25,95.8,2395.0,6.0,8
10188,3,2003-11-18,2003-11-24,2003-11-26,167,1504,S10_4698,Shipped,Sin comentarios,45,182.04,8191.8,6.0,8
10188,4,2003-11-18,2003-11-24,2003-11-26,167,1504,S10_2016,Shipped,Sin comentarios,38,111.8,4248.4,6.0,8
10188,5,2003-11-18,2003-11-24,2003-11-26,167,1504,S18_2625,Shipped,Sin comentarios,32,52.09,1666.88,6.0,8
10188,6,2003-11-18,2003-11-24,2003-11-26,167,1504,S24_2000,Shipped,Sin comentarios,40,61.7,2468.0,6.0,8
10188,7,2003-11-18,2003-11-24,2003-11-26,167,1504,S32_1374,Shipped,Sin comentarios,44,81.91,3604.04,6.0,8
10188,8,2003-11-18,2003-11-24,2003-11-26,167,1504,S700_2834,Shipped,Sin comentarios,29,96.11,2787.19,6.0,8
10189,1,2003-11-18,2003-11-24,2003-11-25,205,1166,S12_2823,Shipped,They want to reevaluate their terms agreement with Finance.,28,138.57,3879.96,6.0,7
10190,1,2003-11-19,2003-11-20,2003-11-29,141,1370,S32_2206,Shipped,Sin comentarios,46,38.62,1776.52,1.0,10
10190,2,2003-11-19,2003-11-20,2003-11-29,141,1370,S50_4713,Shipped,Sin comentarios,40,67.53,2701.2,1.0,10
10190,3,2003-11-19,2003-11-20,2003-11-29,141,1370,S24_2360,Shipped,Sin comentarios,42,58.87,2472.54,1.0,10
10190,4,2003-11-19,2003-11-20,2003-11-29,141,1370,S32_4485,Shipped,Sin comentarios,42,89.8,3771.6,1.0,10
10191,1,2003-11-20,2003-11-24,2003-11-30,259,1504,S12_3380,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,40,104.52,4180.8,4.0,10
10191,2,2003-11-20,2003-11-24,2003-11-30,259,1504,S24_3371,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,48,53.27,2556.96,4.0,10
10191,3,2003-11-20,2003-11-24,2003-11-30,259,1504,S12_1099,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,21,155.66,3268.86,4.0,10
10191,4,2003-11-20,2003-11-24,2003-11-30,259,1504,S12_3990,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,30,70.22,2106.6,4.0,10
10191,5,2003-11-20,2003-11-24,2003-11-30,259,1504,S18_3482,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,23,119.06,2738.38,4.0,10
10191,6,2003-11-20,2003-11-24,2003-11-30,259,1504,S18_3278,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,36,75.59,2721.24,4.0,10
10191,7,2003-11-20,2003-11-24,2003-11-30,259,1504,S24_4620,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,44,77.61,3414.84,4.0,10
10191,8,2003-11-20,2003-11-24,2003-11-30,259,1504,S18_4721,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,32,136.9,4380.8,4.0,10
10191,9,2003-11-20,2003-11-24,2003-11-30,259,1504,S18_3782,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,43,60.93,2619.99,4.0,10
10192,1,2003-11-20,2003-11-25,2003-11-29,363,1216,S24_2887,Shipped,Sin comentarios,23,112.74,2593.02,5.0,9
10192,2,2003-11-20,2003-11-25,2003-11-29,363,1216,S24_2766,Shipped,Sin comentarios,46,86.33,3971.18,5.0,9
10192,3,2003-11-20,2003-11-25,2003-11-29,363,1216,S24_3191,Shipped,Sin comentarios,32,69.34,2218.88,5.0,9
10192,4,2003-11-20,2003-11-25,2003-11-29,363,1216,S24_1046,Shipped,Sin comentarios,37,72.02,2664.74,5.0,9
10192,5,2003-11-20,2003-11-25,2003-11-29,363,1216,S24_3432,Shipped,Sin comentarios,46,93.16,4285.36,5.0,9
10192,6,2003-11-20,2003-11-25,2003-11-29,363,1216,S24_1628,Shipped,Sin comentarios,47,49.3,2317.1,5.0,9
10192,7,2003-11-20,2003-11-25,2003-11-29,363,1216,S18_1589,Shipped,Sin comentarios,29,100.8,2923.2,5.0,9
10192,8,2003-11-20,2003-11-25,2003-11-29,363,1216,S18_2870,Shipped,Sin comentarios,38,110.88,4213.44,5.0,9
10192,9,2003-11-20,2003-11-25,2003-11-29,363,1216,S18_3685,Shipped,Sin comentarios,45,125.74,5658.3,5.0,9
10192,10,2003-11-20,2003-11-25,2003-11-29,363,1216,S18_1984,Shipped,Sin comentarios,47,128.03,6017.41,5.0,9
10192,11,2003-11-20,2003-11-25,2003-11-29,363,1216,S18_1129,Shipped,Sin comentarios,22,140.12,3082.64,5.0,9
10192,12,2003-11-20,2003-11-25,2003-11-29,363,1216,S18_3232,Shipped,Sin comentarios,26,137.17,3566.42,5.0,9
10192,13,2003-11-20,2003-11-25,2003-11-29,363,1216,S24_2972,Shipped,Sin comentarios,30,33.23,996.9,5.0,9
10192,14,2003-11-20,2003-11-25,2003-11-29,363,1216,S24_3856,Shipped,Sin comentarios,45,112.34,5055.3,5.0,9
10192,15,2003-11-20,2003-11-25,2003-11-29,363,1216,S18_1889,Shipped,Sin comentarios,45,70.84,3187.8,5.0,9
10192,16,2003-11-20,2003-11-25,2003-11-29,363,1216,S12_4675,Shipped,Sin comentarios,27,99.04,2674.08,5.0,9
10193,1,2003-11-21,2003-11-27,2003-11-28,471,1611,S18_2949,Shipped,Sin comentarios,28,87.13,2439.64,6.0,7
10193,2,2003-11-21,2003-11-27,2003-11-28,471,1611,S18_3136,Shipped,Sin comentarios,23,97.39,2239.97,6.0,7
