cliente_id,nombre_cliente,fecha_atencion,servicio
C1856,Cliente 1856,2025-03-08,Servicio C
C1857,Cliente 1857,2025-03-02,Servicio A
C1858,Cliente 1858,2025-03-26,Servicio A
C1859,Cliente 1859,2025-03-16,Servicio B
C1860,Cliente 1860,2025-03-14,Servicio B
C1861,Cliente 1861,2025-03-14,Servicio B
C1862,Cliente 1862,2025-03-29,Servicio B
C1863,Cliente 1863,2025-04-01,Servicio B
C1864,Cliente 1864,2025-03-27,Servicio A
C1865,Cliente 1865,2025-03-02,Servicio A
C1866,Cliente 1866,2025-03-07,Servicio C
C1867,Cliente 1867,2025-03-24,Servicio B
C1868,Cliente 1868,2025-03-20,Servicio A
C1869,Cliente 1869,2025-03-03,Servicio C
C1870,Cliente 1870,2025-03-05,Servicio C
C1871,Cliente 1871,2025-03-16,Servicio A
C1872,Cliente 1872,2025-03-03,Servicio A
C1873,Cliente 1873,2025-03-03,Servicio B
C1874,Cliente 1874,2025-03-21,Servicio C
C1875,Cliente 1875,2025-03-03,Servicio A
C1876,Cliente 1876,2025-03-31,Servicio C
C1877,Cliente 1877,2025-03-24,Servicio A
C1878,Cliente 1878,2025-03-28,Servicio A
C1879,Cliente 1879,2025-03-05,Servicio B
C1880,Cliente 1880,2025-03-22,Servicio A
C1881,Cliente 1881,2025-03-05,Servicio C
C1882,Cliente 1882,2025-03-14,Servicio A
C1883,Cliente 1883,2025-03-24,Servicio C
C1884,Cliente 1884,2025-03-28,Servicio A
C1885,Cliente 1885,2025-03-03,Servicio A
C1886,Cliente 1886,2025-03-19,Servicio C
C1887,Cliente 1887,2025-03-01,Servicio C
C1888,Cliente 1888,2025-03-10,Servicio A
C1889,Cliente 1889,2025-03-24,Servicio A
C1890,Cliente 1890,2025-03-17,Servicio A
C1891,Cliente 1891,2025-03-08,Servicio B
C1892,Cliente 1892,2025-03-16,Servicio A
C1893,Cliente 1893,2025-03-31,Servicio C
C1894,Cliente 1894,2025-03-29,Servicio B
C1895,Cliente 1895,2025-03-27,Servicio A
C1896,Cliente 1896,2025-03-12,Servicio A
C1897,Cliente 1897,2025-03-03,Servicio C
C1898,Cliente 1898,2025-03-14,Servicio A
C1899,Cliente 1899,2025-03-16,Servicio B
C1900,Cliente 1900,2025-03-13,Servicio B
C1901,Cliente 1901,2025-03-07,Servicio A
C1902,Cliente 1902,2025-03-27,Servicio B
C1903,Cliente 1903,2025-03-19,Servicio A
C1904,Cliente 1904,2025-03-12,Servicio A
C1905,Cliente 1905,2025-03-19,Servicio C
C1906,Cliente 1906,2025-03-28,Servicio B
C1907,Cliente 1907,2025-03-27,Servicio A
C1908,Cliente 1908,2025-03-14,Servicio A
C1909,Cliente 1909,2025-03-21,Servicio C
C1910,Cliente 1910,2025-03-15,Servicio B
C1911,Cliente 1911,2025-03-11,Servicio B
C1912,Cliente 1912,2025-03-20,Servicio C
C1913,Cliente 1913,2025-03-16,Servicio A
C1914,Cliente 1914,2025-03-03,Servicio C
C1915,Cliente 1915,2025-03-13,Servicio A
C1916,Cliente 1916,2025-03-04,Servicio A
C1917,Cliente 1917,2025-03-31,Servicio B
C1918,Cliente 1918,2025-04-01,Servicio A
C1919,Cliente 1919,2025-03-23,Servicio C
C1920,Cliente 1920,2025-03-15,Servicio B
C1921,Cliente 1921,2025-03-03,Servicio C
C1922,Cliente 1922,2025-03-02,Servicio A
C1923,Cliente 1923,2025-03-31,Servicio C
C1924,Cliente 1924,2025-03-01,Servicio B
C1925,Cliente 1925,2025-03-01,Servicio C
C1926,Cliente 1926,2025-03-30,Servicio B
C1927,Cliente 1927,2025-03-21,Servicio A
C1928,Cliente 1928,2025-03-07,Servicio B
C1929,Cliente 1929,2025-03-02,Servicio C
C1930,Cliente 1930,2025-03-01,Servicio C
C1931,Cliente 1931,2025-03-08,Servicio C
C1932,Cliente 1932,2025-03-26,Servicio A
C1933,Cliente 1933,2025-03-21,Servicio A
C1934,Cliente 1934,2025-03-25,Servicio C
C1935,Cliente 1935,2025-03-03,Servicio A
C1936,Cliente 1936,2025-03-17,Servicio C
C1937,Cliente 1937,2025-03-15,Servicio A
C1938,Cliente 1938,2025-03-15,Servicio C
C1939,Cliente 1939,2025-03-30,Servicio A
C1940,Cliente 1940,2025-03-11,Servicio C
C1941,Cliente 1941,2025-03-02,Servicio B
C1942,Cliente 1942,2025-03-15,Servicio A
C1943,Cliente 1943,2025-03-05,Servicio C
C1944,Cliente 1944,2025-03-01,Servicio B
C1945,Cliente 1945,2025-03-15,Servicio C
C1946,Cliente 1946,2025-03-25,Servicio C
C1947,Cliente 1947,2025-03-20,Servicio B
C1948,Cliente 1948,2025-03-17,Servicio A
C1949,Cliente 1949,2025-04-01,Servicio C
C1950,Cliente 1950,2025-03-02,Servicio B
C1951,Cliente 1951,2025-03-24,Servicio B
C1952,Cliente 1952,2025-03-03,Servicio C
C1953,Cliente 1953,2025-03-30,Servicio C
C1954,Cliente 1954,2025-03-27,Servicio B
C1955,Cliente 1955,2025-03-02,Servicio B
C1956,Cliente 1956,2025-03-24,Servicio B
C1957,Cliente 1957,2025-03-11,Servicio A
C1958,Cliente 1958,2025-03-29,Servicio B
C1959,Cliente 1959,2025-03-04,Servicio B
C1960,Cliente 1960,2025-03-16,Servicio C
C1961,Cliente 1961,2025-03-19,Servicio A
C1962,Cliente 1962,2025-03-27,Servicio C
C1963,Cliente 1963,2025-03-19,Servicio C
C1964,Cliente 1964,2025-03-11,Servicio B
C1965,Cliente 1965,2025-03-11,Servicio C
C1966,Cliente 1966,2025-03-08,Servicio A
C1967,Cliente 1967,2025-03-11,Servicio A
C1968,Cliente 1968,2025-03-25,Servicio A
C1969,Cliente 1969,2025-03-18,Servicio B
C1970,Cliente 1970,2025-03-06,Servicio A
C1971,Cliente 1971,2025-03-29,Servicio C
C1972,Cliente 1972,2025-03-12,Servicio B
C1973,Cliente 1973,2025-03-09,Servicio C
C1974,Cliente 1974,2025-03-27,Servicio C
C1975,Cliente 1975,2025-03-30,Servicio B
C1976,Cliente 1976,2025-03-24,Servicio A
C1977,Cliente 1977,2025-03-24,Servicio C
C1978,Cliente 1978,2025-03-22,Servicio A
C1979,Cliente 1979,2025-03-07,Servicio A
C1980,Cliente 1980,2025-03-22,Servicio C
C1981,Cliente 1981,2025-03-04,Servicio A
C1982,Cliente 1982,2025-03-09,Servicio C
C1983,Cliente 1983,2025-03-22,Servicio A
C1984,Cliente 1984,2025-03-23,Servicio A
C1985,Cliente 1985,2025-03-08,Servicio B
C1986,Cliente 1986,2025-03-01,Servicio A
C1987,Cliente 1987,2025-03-02,Servicio A
C1988,Cliente 1988,2025-03-14,Servicio C
C1989,Cliente 1989,2025-03-26,Servicio B
C1990,Cliente 1990,2025-03-20,Servicio A
C1991,Cliente 1991,2025-03-21,Servicio A
C1992,Cliente 1992,2025-03-08,Servicio A
C1993,Cliente 1993,2025-03-08,Servicio B
C1994,Cliente 1994,2025-03-18,Servicio A
C1995,Cliente 1995,2025-03-09,Servicio C
C1996,Cliente 1996,2025-03-29,Servicio B
C1997,Cliente 1997,2025-03-20,Servicio A
C1998,Cliente 1998,2025-03-25,Servicio B
C1999,Cliente 1999,2025-03-08,Servicio C
C2000,Cliente 2000,2025-03-26,Servicio B
C2001,Cliente 2001,2025-03-01,Servicio A
C2002,Cliente 2002,2025-03-10,Servicio B
C2003,Cliente 2003,2025-03-07,Servicio C
C2004,Cliente 2004,2025-03-04,Servicio A
C2005,Cliente 2005,2025-03-13,Servicio A
C2006,Cliente 2006,2025-03-15,Servicio B
C2007,Cliente 2007,2025-03-09,Servicio C
C2008,Cliente 2008,2025-03-31,Servicio C
C2009,Cliente 2009,2025-03-11,Servicio B
C2010,Cliente 2010,2025-03-27,Servicio B
C2011,Cliente 2011,2025-03-24,Servicio A
C2012,Cliente 2012,2025-03-13,Servicio C
C2013,Cliente 2013,2025-03-09,Servicio B
C2014,Cliente 2014,2025-03-05,Servicio B
C2015,Cliente 2015,2025-03-18,Servicio C
C2016,Cliente 2016,2025-03-31,Servicio A
C2017,Cliente 2017,2025-04-01,Servicio C
C2018,Cliente 2018,2025-03-29,Servicio B
C2019,Cliente 2019,2025-03-04,Servicio A
C2020,Cliente 2020,2025-03-18,Servicio B
C2021,Cliente 2021,2025-03-12,Servicio A
C2022,Cliente 2022,2025-03-08,Servicio C
C2023,Cliente 2023,2025-03-05,Servicio B
C2024,Cliente 2024,2025-03-09,Servicio C
C2025,Cliente 2025,2025-03-15,Servicio A
C2026,Cliente 2026,2025-03-12,Servicio B
C2027,Cliente 2027,2025-03-31,Servicio A
C2028,Cliente 2028,2025-03-26,Servicio C
C2029,Cliente 2029,2025-03-17,Servicio C
C2030,Cliente 2030,2025-03-14,Servicio C
C2031,Cliente 2031,2025-03-09,Servicio B
C2032,Cliente 2032,2025-04-01,Servicio A
C2033,Cliente 2033,2025-03-22,Servicio B
C2034,Cliente 2034,2025-03-08,Servicio C
C2035,Cliente 2035,2025-03-25,Servicio C
C2036,Cliente 2036,2025-03-05,Servicio C
C2037,Cliente 2037,2025-03-23,Servicio B
C2038,Cliente 2038,2025-03-02,Servicio A
C2039,Cliente 2039,2025-03-16,Servicio B
C2040,Cliente 2040,2025-03-09,Servicio C
C2041,Cliente 2041,2025-03-01,Servicio B
C2042,Cliente 2042,2025-03-27,Servicio B
C2043,Cliente 2043,2025-03-28,Servicio C
C2044,Cliente 2044,2025-03-21,Servicio B
C2045,Cliente 2045,2025-03-29,Servicio B
C2046,Cliente 2046,2025-03-14,Servicio A
C2047,Cliente 2047,2025-03-28,Servicio A
C2048,Cliente 2048,2025-03-06,Servicio B
C2049,Cliente 2049,2025-03-03,Servicio A
C2050,Cliente 2050,2025-03-11,Servicio C
C2051,Cliente 2051,2025-03-07,Servicio B
C2052,Cliente 2052,2025-03-27,Servicio C
C2053,Cliente 2053,2025-03-26,Servicio C
C2054,Cliente 2054,2025-04-01,Servicio B
C2055,Cliente 2055,2025-03-02,Servicio A
C2056,Cliente 2056,2025-03-12,Servicio C
C2057,Cliente 2057,2025-03-25,Servicio C
C2058,Cliente 2058,2025-03-03,Servicio A
C2059,Cliente 2059,2025-03-13,Servicio A
C2060,Cliente 2060,2025-03-31,Servicio B
C2061,Cliente 2061,2025-03-24,Servicio A
C2062,Cliente 2062,2025-03-30,Servicio B
C2063,Cliente 2063,2025-03-05,Servicio B
C2064,Cliente 2064,2025-03-02,Servicio C
C2065,Cliente 2065,2025-03-24,Servicio C
C2066,Cliente 2066,2025-03-31,Servicio C
C2067,Cliente 2067,2025-03-02,Servicio C
C2068,Cliente 2068,2025-03-23,Servicio C
C2069,Cliente 2069,2025-03-25,Servicio A
C2070,Cliente 2070,2025-03-14,Servicio B
C2071,Cliente 2071,2025-03-08,Servicio B
C2072,Cliente 2072,2025-03-14,Servicio B
C2073,Cliente 2073,2025-03-30,Servicio A
C2074,Cliente 2074,2025-03-20,Servicio A
C2075,Cliente 2075,2025-03-26,Servicio B
C2076,Cliente 2076,2025-03-14,Servicio A
C2077,Cliente 2077,2025-03-07,Servicio C
C2078,Cliente 2078,2025-03-13,Servicio C
C2079,Cliente 2079,2025-03-03,Servicio A
C2080,Cliente 2080,2025-03-02,Servicio B
C2081,Cliente 2081,2025-03-24,Servicio C
C2082,Cliente 2082,2025-03-13,Servicio A
C2083,Cliente 2083,2025-03-06,Servicio A
C2084,Cliente 2084,2025-03-02,Servicio B
C2085,Cliente 2085,2025-03-12,Servicio B
C2086,Cliente 2086,2025-03-29,Servicio C
C2087,Cliente 2087,2025-03-02,Servicio A
C2088,Cliente 2088,2025-03-18,Servicio B
C2089,Cliente 2089,2025-03-02,Servicio B
C2090,Cliente 2090,2025-03-21,Servicio C
C2091,Cliente 2091,2025-03-23,Servicio C
C2092,Cliente 2092,2025-03-17,Servicio C
C2093,Cliente 2093,2025-03-05,Servicio B
C2094,Cliente 2094,2025-03-02,Servicio C
C2095,Cliente 2095,2025-03-05,Servicio B
C2096,Cliente 2096,2025-03-15,Servicio B
C2097,Cliente 2097,2025-03-23,Servicio B
C2098,Cliente 2098,2025-03-13,Servicio A
C2099,Cliente 2099,2025-03-14,Servicio A
C2100,Cliente 2100,2025-03-01,Servicio C
C2101,Cliente 2101,2025-03-13,Servicio A
C2102,Cliente 2102,2025-03-10,Servicio C
C2103,Cliente 2103,2025-03-27,Servicio B
C2104,Cliente 2104,2025-03-22,Servicio C
C2105,Cliente 2105,2025-03-10,Servicio B
C2106,Cliente 2106,2025-03-18,Servicio A
C2107,Cliente 2107,2025-03-13,Servicio B
C2108,Cliente 2108,2025-03-23,Servicio B
C2109,Cliente 2109,2025-03-24,Servicio A
C2110,Cliente 2110,2025-03-07,Servicio B
C2111,Cliente 2111,2025-03-16,Servicio A
C2112,Cliente 2112,2025-03-10,Servicio B
C2113,Cliente 2113,2025-03-06,Servicio A
C2114,Cliente 2114,2025-03-24,Servicio A
C2115,Cliente 2115,2025-03-09,Servicio B
C2116,Cliente 2116,2025-03-13,Servicio B
C2117,Cliente 2117,2025-03-29,Servicio C
C2118,Cliente 2118,2025-03-13,Servicio C
C2119,Cliente 2119,2025-03-27,Servicio A
C2120,Cliente 2120,2025-03-22,Servicio A
C2121,Cliente 2121,2025-03-05,Servicio C
C2122,Cliente 2122,2025-03-03,Servicio B
C2123,Cliente 2123,2025-03-01,Servicio A
C2124,Cliente 2124,2025-03-03,Servicio C
C2125,Cliente 2125,2025-03-27,Servicio A
C2126,Cliente 2126,2025-03-19,Servicio B
C2127,Cliente 2127,2025-03-07,Servicio B
C2128,Cliente 2128,2025-03-30,Servicio B
C2129,Cliente 2129,2025-03-29,Servicio A
C2130,Cliente 2130,2025-03-27,Servicio B
C2131,Cliente 2131,2025-03-11,Servicio A
C2132,Cliente 2132,2025-03-13,Servicio A
C2133,Cliente 2133,2025-03-09,Servicio C
C2134,Cliente 2134,2025-03-09,Servicio A
C2135,Cliente 2135,2025-03-14,Servicio B
C2136,Cliente 2136,2025-03-29,Servicio C
C2137,Cliente 2137,2025-03-26,Servicio C
C2138,Cliente 2138,2025-03-05,Servicio A
C2139,Cliente 2139,2025-03-25,Servicio B
C2140,Cliente 2140,2025-03-23,Servicio B
C2141,Cliente 2141,2025-03-16,Servicio A
C2142,Cliente 2142,2025-03-18,Servicio C
C2143,Cliente 2143,2025-04-01,Servicio A
C2144,Cliente 2144,2025-03-15,Servicio C
C2145,Cliente 2145,2025-03-17,Servicio A
C2146,Cliente 2146,2025-03-28,Servicio B
C2147,Cliente 2147,2025-03-27,Servicio A
C2148,Cliente 2148,2025-03-26,Servicio C
C2149,Cliente 2149,2025-03-19,Servicio A
C2150,Cliente 2150,2025-03-27,Servicio B
C2151,Cliente 2151,2025-03-06,Servicio C
C2152,Cliente 2152,2025-03-06,Servicio B
C2153,Cliente 2153,2025-03-02,Servicio A
C2154,Cliente 2154,2025-03-25,Servicio C
C2155,Cliente 2155,2025-03-04,Servicio A
C2156,Cliente 2156,2025-03-21,Servicio A
C2157,Cliente 2157,2025-03-03,Servicio A
C2158,Cliente 2158,2025-03-14,Servicio A
C2159,Cliente 2159,2025-03-03,Servicio B
C2160,Cliente 2160,2025-04-01,Servicio A
C2161,Cliente 2161,2025-03-13,Servicio B
C2162,Cliente 2162,2025-03-23,Servicio C
C2163,Cliente 2163,2025-03-24,Servicio B
C2164,Cliente 2164,2025-03-20,Servicio C
C2165,Cliente 2165,2025-03-06,Servicio C
C2166,Cliente 2166,2025-03-28,Servicio C
C2167,Cliente 2167,2025-03-22,Servicio A
C2168,Cliente 2168,2025-03-26,Servicio B
C2169,Cliente 2169,2025-03-12,Servicio C
C2170,Cliente 2170,2025-03-06,Servicio C
C2171,Cliente 2171,2025-03-23,Servicio C
C2172,Cliente 2172,2025-03-09,Servicio C
C2173,Cliente 2173,2025-03-19,Servicio B
C2174,Cliente 2174,2025-03-08,Servicio B
C2175,Cliente 2175,2025-03-14,Servicio A
C2176,Cliente 2176,2025-03-16,Servicio A
C2177,Cliente 2177,2025-03-10,Servicio A
C2178,Cliente 2178,2025-03-08,Servicio C
C2179,Cliente 2179,2025-03-05,Servicio B
C2180,Cliente 2180,2025-03-29,Servicio A
C2181,Cliente 2181,2025-03-31,Servicio C
C2182,Cliente 2182,2025-03-17,Servicio C
C2183,Cliente 2183,2025-03-08,Servicio B
C2184,Cliente 2184,2025-03-03,Servicio C
C2185,Cliente 2185,2025-03-01,Servicio A
C2186,Cliente 2186,2025-03-10,Servicio B
C2187,Cliente 2187,2025-03-12,Servicio C
C2188,Cliente 2188,2025-03-02,Servicio B
C2189,Cliente 2189,2025-03-23,Servicio C
C2190,Cliente 2190,2025-03-03,Servicio C
C2191,Cliente 2191,2025-03-02,Servicio A
C2192,Cliente 2192,2025-03-06,Servicio B
C2193,Cliente 2193,2025-03-05,Servicio C
C2194,Cliente 2194,2025-03-03,Servicio A
C2195,Cliente 2195,2025-03-17,Servicio B
C2196,Cliente 2196,2025-04-01,Servicio A
C2197,Cliente 2197,2025-03-29,Servicio C
C2198,Cliente 2198,2025-03-24,Servicio B
C2199,Cliente 2199,2025-03-03,Servicio A
C2200,Cliente 2200,2025-03-13,Servicio A
C2201,Cliente 2201,2025-03-30,Servicio A
C2202,Cliente 2202,2025-03-18,Servicio C
C2203,Cliente 2203,2025-03-23,Servicio C
C2204,Cliente 2204,2025-03-16,Servicio C
C2205,Cliente 2205,2025-03-23,Servicio C
C2206,Cliente 2206,2025-03-08,Servicio B
C2207,Cliente 2207,2025-03-25,Servicio A
C2208,Cliente 2208,2025-03-20,Servicio B
C2209,Cliente 2209,2025-03-06,Servicio B
C2210,Cliente 2210,2025-03-13,Servicio B
C2211,Cliente 2211,2025-03-31,Servicio A
C2212,Cliente 2212,2025-03-31,Servicio C
C2213,Cliente 2213,2025-03-09,Servicio A
C2214,Cliente 2214,2025-03-16,Servicio A
C2215,Cliente 2215,2025-03-22,Servicio C
C2216,Cliente 2216,2025-03-14,Servicio A
C2217,Cliente 2217,2025-03-13,Servicio A
C2218,Cliente 2218,2025-03-27,Servicio B
C2219,Cliente 2219,2025-03-18,Servicio C
C2220,Cliente 2220,2025-03-10,Servicio A
C2221,Cliente 2221,2025-03-29,Servicio A
C2222,Cliente 2222,2025-03-03,Servicio A
C2223,Cliente 2223,2025-03-12,Servicio C
C2224,Cliente 2224,2025-03-29,Servicio C
C2225,Cliente 2225,2025-03-01,Servicio A
C2226,Cliente 2226,2025-03-24,Servicio C
C2227,Cliente 2227,2025-03-20,Servicio B
C2228,Cliente 2228,2025-03-12,Servicio A
C2229,Cliente 2229,2025-04-01,Servicio C
C2230,Cliente 2230,2025-03-11,Servicio C
C2231,Cliente 2231,2025-03-12,Servicio B
C2232,Cliente 2232,2025-03-13,Servicio C
C2233,Cliente 2233,2025-03-05,Servicio A
C2234,Cliente 2234,2025-03-03,Servicio C
C2235,Cliente 2235,2025-03-25,Servicio B
C2236,Cliente 2236,2025-03-31,Servicio C
C2237,Cliente 2237,2025-03-20,Servicio A
C2238,Cliente 2238,2025-03-05,Servicio A
C2239,Cliente 2239,2025-03-12,Servicio C
C2240,Cliente 2240,2025-03-05,Servicio C
C2241,Cliente 2241,2025-03-20,Servicio B
C2242,Cliente 2242,2025-03-10,Servicio A
C2243,Cliente 2243,2025-03-17,Servicio A
C2244,Cliente 2244,2025-03-21,Servicio C
C2245,Cliente 2245,2025-03-02,Servicio B
C2246,Cliente 2246,2025-03-19,Servicio A
C2247,Cliente 2247,2025-03-21,Servicio C
C2248,Cliente 2248,2025-03-29,Servicio C
C2249,Cliente 2249,2025-03-25,Servicio C
C2250,Cliente 2250,2025-03-07,Servicio C
C2251,Cliente 2251,2025-03-27,Servicio A
C2252,Cliente 2252,2025-03-25,Servicio C
C2253,Cliente 2253,2025-03-16,Servicio C
C2254,Cliente 2254,2025-03-15,Servicio A
C2255,Cliente 2255,2025-03-30,Servicio C
C2256,Cliente 2256,2025-03-09,Servicio B
C2257,Cliente 2257,2025-03-13,Servicio C
C2258,Cliente 2258,2025-03-06,Servicio A
C2259,Cliente 2259,2025-03-09,Servicio B
C2260,Cliente 2260,2025-03-26,Servicio A
C2261,Cliente 2261,2025-03-22,Servicio B
C2262,Cliente 2262,2025-03-18,Servicio A
C2263,Cliente 2263,2025-03-25,Servicio A
C2264,Cliente 2264,2025-03-10,Servicio A
C2265,Cliente 2265,2025-03-18,Servicio A
C2266,Cliente 2266,2025-03-22,Servicio B
C2267,Cliente 2267,2025-03-01,Servicio C
C2268,Cliente 2268,2025-03-12,Servicio A
C2269,Cliente 2269,2025-03-30,Servicio C
C2270,Cliente 2270,2025-03-17,Servicio A
C2271,Cliente 2271,2025-03-09,Servicio B
C2272,Cliente 2272,2025-03-26,Servicio A
C2273,Cliente 2273,2025-03-04,Servicio A
C2274,Cliente 2274,2025-03-08,Servicio A
C2275,Cliente 2275,2025-03-18,Servicio A
C2276,Cliente 2276,2025-03-13,Servicio B
C2277,Cliente 2277,2025-03-26,Servicio A
C2278,Cliente 2278,2025-03-30,Servicio C
C2279,Cliente 2279,2025-03-17,Servicio B
C2280,Cliente 2280,2025-03-11,Servicio B
C2281,Cliente 2281,2025-03-05,Servicio C
C2282,Cliente 2282,2025-03-07,Servicio B
C2283,Cliente 2283,2025-03-09,Servicio B
C2284,Cliente 2284,2025-03-03,Servicio A
C2285,Cliente 2285,2025-03-13,Servicio B
C2286,Cliente 2286,2025-03-22,Servicio A
C2287,Cliente 2287,2025-03-02,Servicio B
C2288,Cliente 2288,2025-04-01,Servicio C
C2289,Cliente 2289,2025-03-03,Servicio A
C2290,Cliente 2290,2025-03-29,Servicio C
C2291,Cliente 2291,2025-04-01,Servicio B
C2292,Cliente 2292,2025-03-19,Servicio C
C2293,Cliente 2293,2025-03-03,Servicio C
C2294,Cliente 2294,2025-03-12,Servicio A
C2295,Cliente 2295,2025-03-20,Servicio A
C2296,Cliente 2296,2025-03-23,Servicio C
C2297,Cliente 2297,2025-03-29,Servicio B
C2298,Cliente 2298,2025-03-22,Servicio A
C2299,Cliente 2299,2025-03-11,Servicio A
C2300,Cliente 2300,2025-03-03,Servicio A
C2301,Cliente 2301,2025-03-26,Servicio B
C2302,Cliente 2302,2025-03-16,Servicio B
C2303,Cliente 2303,2025-03-31,Servicio A
C2304,Cliente 2304,2025-03-12,Servicio A
C2305,Cliente 2305,2025-03-16,Servicio A
C2306,Cliente 2306,2025-03-03,Servicio C
C2307,Cliente 2307,2025-03-03,Servicio A
C2308,Cliente 2308,2025-03-22,Servicio B
C2309,Cliente 2309,2025-03-30,Servicio B
C2310,Cliente 2310,2025-03-23,Servicio B
C2311,Cliente 2311,2025-03-15,Servicio B
C2312,Cliente 2312,2025-03-02,Servicio C
C2313,Cliente 2313,2025-03-27,Servicio C
C2314,Cliente 2314,2025-03-12,Servicio A
C2315,Cliente 2315,2025-03-10,Servicio B
C2316,Cliente 2316,2025-03-24,Servicio C
C2317,Cliente 2317,2025-03-01,Servicio B
C2318,Cliente 2318,2025-03-05,Servicio C
C2319,Cliente 2319,2025-03-03,Servicio A
C2320,Cliente 2320,2025-04-01,Servicio C
C2321,Cliente 2321,2025-03-03,Servicio A
C2322,Cliente 2322,2025-03-30,Servicio C
C2323,Cliente 2323,2025-03-07,Servicio B
C2324,Cliente 2324,2025-03-30,Servicio B
C2325,Cliente 2325,2025-03-02,Servicio A
C2326,Cliente 2326,2025-03-30,Servicio B
C2327,Cliente 2327,2025-03-26,Servicio C
C2328,Cliente 2328,2025-03-28,Servicio C
C2329,Cliente 2329,2025-03-31,Servicio B
C2330,Cliente 2330,2025-03-20,Servicio A
C2331,Cliente 2331,2025-03-28,Servicio B
C2332,Cliente 2332,2025-03-01,Servicio B
C2333,Cliente 2333,2025-03-30,Servicio B
C2334,Cliente 2334,2025-04-01,Servicio A
C2335,Cliente 2335,2025-03-10,Servicio B
C2336,Cliente 2336,2025-03-23,Servicio A
C2337,Cliente 2337,2025-03-11,Servicio A
C2338,Cliente 2338,2025-03-24,Servicio C
C2339,Cliente 2339,2025-03-31,Servicio A
C2340,Cliente 2340,2025-03-27,Servicio C
C2341,Cliente 2341,2025-03-28,Servicio A
C2342,Cliente 2342,2025-03-06,Servicio B
C2343,Cliente 2343,2025-03-07,Servicio B
C2344,Cliente 2344,2025-03-10,Servicio B
C2345,Cliente 2345,2025-03-31,Servicio C
C2346,Cliente 2346,2025-03-25,Servicio B
C2347,Cliente 2347,2025-03-05,Servicio B
C2348,Cliente 2348,2025-03-24,Servicio C
C2349,Cliente 2349,2025-03-12,Servicio A
C2350,Cliente 2350,2025-03-22,Servicio B
C2351,Cliente 2351,2025-03-21,Servicio B
C2352,Cliente 2352,2025-03-08,Servicio C
C2353,Cliente 2353,2025-03-16,Servicio C
C2354,Cliente 2354,2025-03-23,Servicio A
C2355,Cliente 2355,2025-03-01,Servicio B
C2356,Cliente 2356,2025-03-26,Servicio C
C2357,Cliente 2357,2025-03-18,Servicio B
C2358,Cliente 2358,2025-03-07,Servicio C
C2359,Cliente 2359,2025-03-16,Servicio B
C2360,Cliente 2360,2025-03-16,Servicio B
C2361,Cliente 2361,2025-03-26,Servicio B
C2362,Cliente 2362,2025-03-22,Servicio C
C2363,Cliente 2363,2025-03-04,Servicio C
C2364,Cliente 2364,2025-03-30,Servicio A
C2365,Cliente 2365,2025-03-21,Servicio B
C2366,Cliente 2366,2025-03-16,Servicio A
C2367,Cliente 2367,2025-03-12,Servicio B
C2368,Cliente 2368,2025-04-01,Servicio A
C2369,Cliente 2369,2025-03-01,Servicio B
C2370,Cliente 2370,2025-04-01,Servicio B
C2371,Cliente 2371,2025-03-07,Servicio C
C2372,Cliente 2372,2025-03-12,Servicio C
C2373,Cliente 2373,2025-03-07,Servicio B
C2374,Cliente 2374,2025-03-19,Servicio A
C2375,Cliente 2375,2025-03-20,Servicio A
C2376,Cliente 2376,2025-03-07,Servicio C
C2377,Cliente 2377,2025-03-10,Servicio C
C2378,Cliente 2378,2025-03-30,Servicio A
C2379,Cliente 2379,2025-03-31,Servicio C
C2380,Cliente 2380,2025-03-09,Servicio A
C2381,Cliente 2381,2025-03-20,Servicio C
C2382,Cliente 2382,2025-03-06,Servicio C
C2383,Cliente 2383,2025-03-04,Servicio C
C2384,Cliente 2384,2025-03-16,Servicio A
C2385,Cliente 2385,2025-03-05,Servicio C
C2386,Cliente 2386,2025-03-18,Servicio B
C2387,Cliente 2387,2025-03-06,Servicio C
C2388,Cliente 2388,2025-03-09,Servicio A
C2389,Cliente 2389,2025-03-17,Servicio B
C2390,Cliente 2390,2025-04-01,Servicio B
C2391,Cliente 2391,2025-03-12,Servicio A
C2392,Cliente 2392,2025-03-23,Servicio C
C2393,Cliente 2393,2025-03-17,Servicio A
C2394,Cliente 2394,2025-03-03,Servicio B
C2395,Cliente 2395,2025-03-05,Servicio B
C2396,Cliente 2396,2025-03-21,Servicio C
C2397,Cliente 2397,2025-04-01,Servicio A
C2398,Cliente 2398,2025-03-12,Servicio A
C2399,Cliente 2399,2025-03-16,Servicio A
C2400,Cliente 2400,2025-03-02,Servicio C
C2401,Cliente 2401,2025-03-23,Servicio C
C2402,Cliente 2402,2025-03-27,Servicio B
C2403,Cliente 2403,2025-03-10,Servicio B
C2404,Cliente 2404,2025-03-16,Servicio B
C2405,Cliente 2405,2025-03-11,Servicio C
C2406,Cliente 2406,2025-03-21,Servicio B
C2407,Cliente 2407,2025-03-12,Servicio C
C2408,Cliente 2408,2025-03-23,Servicio B
C2409,Cliente 2409,2025-03-05,Servicio B
C2410,Cliente 2410,2025-03-31,Servicio B
C2411,Cliente 2411,2025-03-09,Servicio C
C2412,Cliente 2412,2025-03-19,Servicio C
C2413,Cliente 2413,2025-03-20,Servicio A
